LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
""
LGW Services,2000-2899,8000-8399(Short Haul),8800-8899,,
""
LYC Services,3200-3299,7000-7399,8400-8499,8700-8799,
""
SOU Services,2900-2999,,,,
""
Comair,6200-6499,,,,
""
Special Services,3300-3999,9000-9999,,,
""
Code Shares,1611-1699,4000-4399,4600-6199,,
LHR Long Haul Services
,,BA0393,BRU->LHR,"BAW393B, BAW393"
,,BA0396,LHR->BRU,BAW396
,,BA0397,BRU->LHR,BAW397
,,BA0398,LHR->BRU,"BAW398R, BAW398"
,,BA0399,BRU->LHR,"BAW399R, BAW399"
Egypt,Cairo,BA0400,LHR->CAI,"BAW4TH, BAW400"
,,BA0401,CAI->LHR,BAW401
,,BA0406,LHR->CAI,"BAW406L, BAW406"
,,BA0407,CAI->LHR,"BAW407B, BAW407"
Spain,Valencia,BA0408,LHR->VLC,"BAW408V, BAW408"
,,BA0409,VLC->LHR,"BAW96VC, BAW409"
,,BA0410,LHR->VLC,BAW410
,,BA0411,VLC->LHR,BAW411
,Malaga,BA0412,LHR->AGP,"BAW412M, FIN412"
,,BA0413,AGP->LHR,"BAW413, FIN37WX, FIN413"
,Tenerife,BA0414,LHR->TFS,BAW414
,,BA0415,TFS->LHR,"BAW45UR, BAW415"
Luxembourg,Luxemburg,BA0416,LHR->LUX,"BAW416, BAW16LX"
,,BA0417,LUX->LHR,"BAW17SE, BAW417"
,,BA0418,LHR->LUX,"BAW18LX, BAW418"
,,BA0419,LUX->LHR,"BAW19LX, BAW419"
Netherlands,Amsterdam,BA0423,AMS->LHR,"BAW2AM, BAW423"
,,BA0426,LHR->AMS,BAW426
,,BA0427,AMS->LHR,BAW427
,,BA0428,LHR->AMS,"BAW48HY, BAW428"
,,BA0429,AMS->LHR,BAW429
,,BA0430,LHR->AMS,BAW430
,,BA0431,AMS->LHR,"BAW41R, BAW431"
United States,San Diego,BA0433,SAN->PHL,AAL433
Netherlands,Amsterdam,BA0434,LHR->AMS,"BAW3ET, BAW434"
,,BA0435,AMS->LHR,"BAW43XP, BAW435"
,,BA0436,LHR->AMS,"BAW3KG, BAW436"
,,BA0437,AMS->LHR,BAW437
,,BA0438,LHR->AMS,"BAW438W, BAW438"
,,BA0439,AMS->LHR,"BAW439M, BAW439"
,,BA0440,LHR->AMS,"BAW44E, BAW440"
,,BA0441,AMS->LHR,"BAW41HA, BAW441, BAW44E"
,,BA0442,LHR->AMS,"BAW442, BAW442K, FIN442, BAW422K"
,,BA0443,AMS->LHR,"BAW43HA, BAW443"
,,BA0444,LHR->AMS,BAW444
,,BA0446,LHR->AMS,BAW446
,,BA0447,AMS->LHR,BAW447
Spain,Tenerife,BA0448,LHR->TFS,BAW448
,,BA0449,TFS->LHR,BAW449
,Madrid,BA0456,LHR->MAD,"BAW5MK, BAW456, FIN456"
,,BA0457,MAD->LHR,"BAW457, BAW5MK, BAW86LH, FIN457"
,,BA0458,LHR->MAD,"BAW4MJ, BAW458, FIN458"
,,BA0459,MAD->LHR,"BAW45EM, BAW459"
,,BA0460,LHR->MAD,"BAW460M, BAW460"
,,BA0461,MAD->LHR,"BAW461M, BAW461"
,,BA0462,LHR->MAD,"BAW426V, BAW462V, BAW462, FIN462"
,,BA0463,MAD->LHR,"BAW43M, BAW463"
,,BA0464,LHR->MAD,"BAW46BL, BAW464, FIN464"
,,BA0465,MAD->LHR,"BAW465M, BAW465"
,,BA0466,LHR->MAD,"BAW46JU, BAW466"
,,BA0467,MAD->LHR,BAW467
,Barcelona,BA0470,LHR->BCN,"BAW470, FIN470"
,,BA0471,BCN->LHR,"BAW471, FIN471"
,,BA0472,LHR->BCN,"BAW472, BAW74AF, FIN472"
,,BA0473,BCN->LHR,"BAW473, BAW57MG, FIN473"
,,BA0474,LHR->BCN,"BAW474K, BAW474"
,,BA0475,BCN->LHR,BAW475
,,BA0476,LHR->BCN,"BAW7YT, BAW476"
,,BA0477,BCN->LHR,"BAW47C, BAW477"
,,BA0478,LHR->BCN,"BAW478S, BAW478, FIN478"
,,BA0479,BCN->LHR,"BAW479, FIN479, BAW15FD"
,,BA0480,LHR->BCN,"BAW480N, BAW480, FIN480"
,,BA0481,BCN->LHR,"BAW481B, BAW481, FIN481"
,,BA0482,LHR->BCN,"BAW482P, BAW482"
,,BA0483,BCN->LHR,"BAW483B, BAW483"
,,BA0484,LHR->BCN,"BAW484C, BAW484"
,,BA0485,BCN->LHR,BAW485
,,BA0488,LHR->BCN,"BAW488, BAW4GS, FIN488"
,,BA0489,BCN->LHR,"BAW489, BAW49TA, FIN489"
Gibraltar,Gibraltar,BA0490,LHR->GIB,"BAW4RE, BAW490"
,,BA0491,GIB->LHR,"BAW491, BAW491U"
,,BA0492,LHR->GIB,"BAW492U, BAW492"
,,BA0493,GIB->LHR,"BAW493, BAW493U"
Portugal,Lisbon,BA0499,LIS->LHR,"BAW499, BAW499C"
,,BA0500,LHR->LIS,"BAW5PT, FIN500"
,,BA0501,LIS->LHR,"BAW501, BAW51P, FIN501"
,,BA0502,LHR->LIS,"FIN5LI, BAW502, FIN502"
,,BA0503,LIS->LHR,"BAW53V, BAW503"
,,BA0504,LHR->LIS,"BAW5DP, BAW504"
,,BA0506,LHR->LIS,"BAW56HR, BAW506"
,,BA0507,LIS->LHR,"BAW507F, BAW507"
,,BA0518,LHR->LIS,"BAW58TL, BAW518"
,,BA0519,LIS->LHR,"BAW51L, BAW519"
,Funchal,BA0520,LHR->FNC,"BAW520, BAW2TC"
,,BA0521,FNC->LHR,"BAW52C, BAW521"
Finland,Rovaniemi,BA0534,RVN->HEL,"FIN5KR, FIN534"
,Helsinki,BA0535,HEL->RVN,"FIN9PE, FIN535"
Italy,Torino,BA0536,LHR->TRN,BAW56LT
,,BA0537,TRN->LHR,BAW57TN
,Bologna,BA0540,LHR->BLQ,"BAW5B, BAW540"
,,BA0541,BLQ->LHR,"BAW541A, BAW541"
,,BA0542,LHR->BLQ,"BAW542W, BAW542"
,,BA0543,BLQ->LHR,"BAW543Q, BAW543"
,,BA0544,LHR->BLQ,"BAW544K, BAW544D, BAW544, FIN544"
Finland,Helsinki,BA0545,HEL->RVN,FIN545
Italy,Rome,BA0546,LHR->FCO,"BAW5PQ, BAW546"
,,BA0547,FCO->LHR,"BAW8CF, BAW547"
,,BA0548,LHR->FCO,"BAW5CR, BAW548, FIN548"
,,BA0549,FCO->LHR,"BAW45T, BAW549, FIN549"
,,BA0551,FCO->LHR,BAW551
,,BA0552,LHR->FCO,"BAW552, BAW552F"
,,BA0553,FCO->LHR,"BAW553C, BAW553"
,,BA0554,LHR->FCO,"BAW554R, FIN554, BAW554"
,,BA0555,FCO->LHR,"BAW5RF, BAW555, FIN555"
,,BA0556,LHR->FCO,"BAW556Q, BAW556, BAW777C"
,,BA0557,FCO->LHR,"BAW557H, BAW557, FIN557"
,,BA0558,LHR->FCO,"BAW5FC, BAW558"
,,BA0559,FCO->LHR,"BAW55CL, BAW559, FIN559"
,,BA0560,LHR->FCO,"BAW560F, BAW560"
,Milan,BA0561,LIN->LHR,"BAW561L, BAW561"
,,BA0562,LHR->LIN,BAW562
,,BA0563,LIN->LHR,BAW563
,,BA0564,LHR->LIN,"BAW564Y, BAW564"
,,BA0565,LIN->LHR,"BAW6NL, BAW565"
,,BA0568,LHR->LIN,"BAW568J, BAW568"
,,BA0569,LIN->LHR,"FIN569J, BAW569"
,,BA0570,LHR->LIN,"BAW570, BAW7RL"
,Milano,BA0572,LHR->MXP,"BAW7MY, BAW572"
,,BA0573,MXP->LHR,"BAW75M, BAW573"
,Milan,BA0574,LHR->LIN,BAW574
,,BA0575,LIN->LHR,BAW575
,Milano,BA0576,LHR->MXP,"BAW5XM, BAW576"
,,BA0577,MXP->LHR,BAW577
,Venice,BA0578,LHR->VCE,"BAW15PZ, BAW578"
,,BA0579,VCE->LHR,"BAW579V, BAW597V, BAW579"
,Milano,BA0580,LHR->MXP,"BAW580M, BAW580"
,,BA0581,MXP->LHR,"BAW581X, BAW58NK, BAW581"
,Venice,BA0582,LHR->VCE,"BAW58EW, BAW582"
,,BA0583,VCE->LHR,"BAW53FT, BAW583"
,Milano,BA0584,LHR->MXP,"BAW5HL, BAW584"
,,BA0585,MXP->LHR,"BAW5KY, BAW585"
,Milan,BA0588,LHR->LIN,"BAW588L, BAW588"
,,BA0589,LIN->LHR,"BAW14GM, BAW589"
,Milano,BA0590,LHR->MXP,"BAW50M, BAW590"
,,BA0591,MXP->LHR,"BAW51X, BAW591"
United Kingdom,Manchester,BA0592,MAN->INV,"LOG2CV, LOG592, LOG7WC"
Italy,Venice,BA0594,LHR->VCE,BAW594R
,,BA0595,VCE->LHR,BAW595N
,,BA0596,LHR->VCE,BAW596
,,BA0597,VCE->LHR,"BAW597C, BAW597"
Turkey,Istanbul,BA0602,LHR->SAW,BAW602
,,BA0603,SAW->LHR,BAW603
Italy,Pisa,BA0604,LHR->PSA,"BAW604P, BAW604"
,,BA0605,PSA->LHR,BAW605
Cyprus,Larnaca,BA0620,LHR->LCA,"BAW6CA, BAW620"
,,BA0621,LCA->LHR,"BAW621C, BAW621"
Greece,Athens,BA0631,ATH->LHR,"BAW63VP, BAW631"
,,BA0632,LHR->ATH,"BAW32T, FIN632"
,,BA0633,ATH->LHR,"BAW33A, FIN633"
,,BA0634,LHR->ATH,"BAW26AV, BAW634"
,,BA0640,LHR->ATH,"BAW5RI, BAW640"
,,BA0641,ATH->LHR,"BAW641, FIN641, BAW66GA"
Cyprus,Larnaca,BA0660,LHR->LCA,"BAW660E, BAW660"
,,BA0661,LCA->LHR,"BAW61GC, BAW661"
,,BA0662,LHR->LCA,"BAW6CR, BAW662"
,,BA0663,LCA->LHR,BAW663
Morocco,Marrakech,BA0666,LHR->RAK,BAW666
,,BA0667,RAK->LHR,BAW667
,,BA0668,LHR->RAK,"BAW668R, BAW668"
,,BA0669,RAK->LHR,"BAW669R, BAW669"
Turkey,Istanbul,BA0675,IST->LHR,BAW675
,,BA0676,LHR->IST,BAW676
,,BA0677,IST->LHR,BAW677
,,BA0678,LHR->IST,BAW678
,,BA0679,IST->LHR,BAW679
,,BA0680,LHR->IST,BAW680
Austria,Salzburg,BA0682,LHR->SZG,"BAW682Z, BAW682"
,,BA0683,SZG->LHR,"BAW683, BAW68G"
,Innsbruck,BA0684,LHR->INN,"BAW99M, BAW684"
,,BA0685,INN->LHR,"BAW685F, BAW685"
,,BA0686,LHR->INN,"BAW93G, BAW686"
,,BA0687,INN->LHR,"BAW6WE, BAW687"
Slovenia,Ljubljana,BA0690,LHR->LJU,"BAW6LJ, BAW690"
,,BA0691,LJU->LHR,BAW691
Austria,Vienna,BA0695,VIE->LHR,BAW695
,,BA0696,LHR->VIE,"BAW696V, BAW696"
,,BA0697,VIE->LHR,"BAW697V, BAW697"
,,BA0698,LHR->VIE,BAW69Y
,,BA0699,VIE->LHR,"BAW699W, BAW699"
,,BA0700,LHR->VIE,"BAW700W, BAW700"
,,BA0701,VIE->LHR,"BAW701V, BAW701"
,,BA0702,LHR->VIE,"BAW702E, BAW702"
,,BA0703,VIE->LHR,"BAW703E, BAW703"
,,BA0704,LHR->VIE,"BAW704W, BAW704"
,,BA0705,VIE->LHR,BAW705
,,BA0706,LHR->VIE,"BAW706V, BAW706"
Switzerland,Zurich,BA0707,ZRH->LHR,BAW707H
,,BA0708,LHR->ZRH,"BAW708Z, BAW708"
,,BA0709,ZRH->LHR,BAW709
,,BA0710,LHR->ZRH,"BAW710R, BAW710"
,,BA0711,ZRH->LHR,"BAW71FJ, BAW711"
,,BA0712,LHR->ZRH,"BAW712T, BAW712"
,,BA0713,ZRH->LHR,"BAW3ZL, BAW713"
,,BA0714,LHR->ZRH,"BAW714T, BAW714"
,,BA0715,ZRH->LHR,"BAW715T, BAW715"
,,BA0716,LHR->ZRH,"BAW716, BAW14R"
,,BA0717,ZRH->LHR,"BAW717T, BAW717"
,,BA0718,LHR->ZRH,BAW718
,,BA0719,ZRH->LHR,BAW719
,,BA0720,LHR->ZRH,"BAW720T, BAW720"
,Geneva,BA0721,GVA->LHR,"BAW72G, BAW721"
,,BA0722,LHR->GVA,"BAW722P, BAW722"
,,BA0723,GVA->LHR,"BAW7WN, BAW723"
,,BA0724,LHR->GVA,"BAW72J, BAW724"
,,BA0725,GVA->LHR,BAW725
,,BA0726,LHR->GVA,"BAW726P, BAW726"
,,BA0727,GVA->LHR,"BAW727G, BAW727"
,,BA0728,LHR->GVA,"BAW78H, BAW78G, BAW728"
,,BA0729,GVA->LHR,BAW729
,,BA0730,LHR->GVA,"BAW7GV, BAW730"
,,BA0731,GVA->LHR,"BAW731W, BAW731"
,,BA0732,LHR->GVA,BAW732
,,BA0733,GVA->LHR,"BAW733C, BAW733"
,,BA0734,LHR->GVA,"BAW73RP, BAW734"
,,BA0735,GVA->LHR,"BAW7Q, BAW735"
,,BA0736,LHR->GVA,BAW736
,,BA0737,GVA->LHR,"BAW737, BAW73V"
,,BA0738,LHR->GVA,BAW738
,,BA0740,LHR->GVA,BAW740
,,BA0741,GVA->LHR,BAW741
,,BA0742,LHR->GVA,"BAW742S, BAW742"
,,BA0743,GVA->LHR,"BAW743U, BAW743"
,Zurich,BA0744,LHR->ZRH,BAW744
,,BA0745,ZRH->LHR,BAW745
France,Mulhouse,BA0749,BSL->LHR,"BAW76GF, BAW749"
,,BA0750,LHR->BSL,"BAW750P, BAW750"
,,BA0751,BSL->LHR,BAW751
,,BA0752,LHR->BSL,"BAW752B, BAW752"
,,BA0753,BSL->LHR,"BAW73B, BAW753"
